ID,Label,Genres,Followers,Related Artist
55,Beach Bunny,"['bubblegrunge', 'chicago indie', 'indie pop', 'pop']",666902,Wallows
56,Bebe Rexha,"['dance pop', 'pop', 'post-teen pop']",6696850,"Mabel, Anne-Marie, Halsey, Madison Beer, Ellie Goulding, Camila Cabello, Demi Lovato, Bea Miller"
57,Becky G,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",10549437,"Lele Pons, Lunay, KAROL G, Natti Natasha, Tainy"
58,Bella Poarch,[],554556,
59,Belly,"['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul']",213660,"Meek Mill, French Montana, The Weeknd, Travis Scott"
60,Beyoncé,"['dance pop', 'pop', 'r&b']",28979733,"Kehlani, Normani"
61,Big Red Machine,"['eau claire indie', 'folktronica', 'indie pop']",114465,
62,Big Sean,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",8813312,"Meek Mill, French Montana, Bas, Ty Dolla $ign"
63,Billie Eilish,"['electropop', 'pop']",49661223,"Tate McRae, Lorde, Ashe, Bazzi, MARINA, Melanie Martinez, Halsey, Madison Beer, The Neighbourhood, Harry Styles, Conan Gray, Bea Miller"
64,Bing Crosby,"['adult standards', 'easy listening', 'lounge', 'swing']",364245,"Andy Williams, Perry Como, Burl Ives"
65,Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",3523497,"KHEA, Trueno"
66,Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",6109688,"Justin Timberlake, Gwen Stefani, Jason Derulo, Nelly Furtado, Britney Spears"
67,Blind Channel,"['eurovision', 'oulu metal', 'trancecore']",130314,
68,Blxst,[],196373,"K CAMP, Vedo"
69,Bo Burnham,['comic'],1175507,Dream
70,Bobby Helms,[],20883,"Brenda Lee, Darlene Love, Perry Como, Burl Ives"
71,Bonez MC,"['german hip hop', 'hamburg hip hop']",1710401,"Zuna, Gzuz, Bausa, Dardan, RAF Camora, 187 Strassenbande, KC Rebell"
72,Booba,"['francoton', 'french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']",2230120,
73,Boomdabash,"['italian adult pop', 'italian pop', 'italian reggae']",557205,Fedez
74,Bosh,[],245,
75,Boza,['reggaeton'],319996,
76,Brenda Lee,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rockabilly', 'vocal jazz']",230079,"Andy Williams, Perry Como"
77,Brent Faiyaz,"['dmv rap', 'pop', 'r&b', 'rap']",1815829,"H.E.R., PARTYNEXTDOOR, Bryson Tiller"
78,Brett Eldredge,"['contemporary country', 'country', 'country road', 'modern country rock']",1314421,Walker Hayes
79,Bring Me The Horizon,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']",4023393,
80,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",9746519,"Miley Cyrus, Kylie Minogue, Kelly Clarkson, Gwen Stefani, Nelly Furtado"
81,Bruce Springsteen,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",4347910,
82,Bruno Mars,"['dance pop', 'pop']",34089732,"One Direction, Meghan Trainor, Katy Perry, ZAYN, Justin Timberlake, Jason Derulo, Jason Mraz"
83,Bryson Tiller,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']",5121542,"Jhené Aiko, Brent Faiyaz, PARTYNEXTDOOR"
84,Burl Ives,"['adult standards', 'american folk revival']",59522,Perry Como
85,BØRNS,"['modern alternative rock', 'modern rock', 'pop']",1039077,
86,C. Tangana,['urbano espanol'],1541998,Marc Seguí
87,CJ,['nyc rap'],190295,DDG
88,CORPSE,"['dream smp', 'viral rap']",1896748,Dream
89,Cali Y El Dandee,"['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",3227829,Piso 21
90,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']",22161803,"Major Lazer, Kygo, Galantis, The Chainsmokers"
91,Camila Cabello,"['dance pop', 'pop', 'post-teen pop']",23525145,"Meghan Trainor, ZAYN, Niall Horan, Shawn Mendes, Madison Beer, Selena Gomez, Liam Payne, Demi Lovato, Bazzi, Normani"
92,Camilo,"['colombian pop', 'reggaeton colombiano']",11534629,"Manuel Turizo, Reik, KAROL G, Piso 21, Sebastian Yatra, TINI, Natti Natasha, Cali Y El Dandee"
93,Capital Bra,['german hip hop'],4132330,"Samra, Miksu / Macloud, Zuna, AK AUSSERKONTROLLE, Bausa, Dardan, KC Rebell"
94,Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']",18068144,"BIA, Lizzo, Megan Thee Stallion, Nicki Minaj, Saweetie, Normani"
95,Childish Gambino,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",8303952,"BROCKHAMPTON, Kendrick Lamar, Mac Miller, Kid Cudi"
96,Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",14388608,Ty Dolla $ign
97,Chris Rea,"['album rock', 'blues rock', 'classic rock', 'mellow gold', 'soft rock', 'sophisti-pop']",664849,
98,Christian Nodal,"['mariachi', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",8705180,Banda MS de Sergio Lizárraga
99,Chuck Berry,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",1464272,
100,Clairo,"['bedroom pop', 'indie pop', 'pop']",2827220,
101,Clean Bandit,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",4497572,"Ellie Goulding, Anne-Marie, Mabel"
102,Cochise,"['plugg', 'vapor trap', 'viral rap']",188939,
103,Coldplay,"['permanent wave', 'pop']",31979566,"Vance Joy, Tom Odell, Oasis, Kygo, Maroon 5, Hozier, OneRepublic, The Killers"
104,Conan Gray,"['bedroom pop', 'electropop', 'indie pop', 'pop']",4066357,"Ashe, Clairo, Wallows, Beach Bunny"
105,Conkarah,['jawaiian'],67471,
106,Cordae,"['dmv rap', 'hip hop', 'rap', 'trap', 'underground hip hop', 'vapor trap']",1525155,
107,Crissin,[],7195,
108,Curtis Waters,[],70041,"ElyOtto, Peach Tree Rascals"
109,DDG,"['rap', 'trap']",538841,"Cordae, Lil Yachty"
110,DJ Ivis,['piseiro'],389338,
111,DJ Khaled,"['hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6427995,"Lil Wayne, Ty Dolla $ign, French Montana, Meek Mill, Big Sean"
112,DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",7462663,Major Lazer
113,DMX,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",2839404,
114,DaBaby,"['north carolina hip hop', 'rap']",8063132,"Roddy Ricch, NLE Choppa, Cordae, Gunna, Internet Money, Lil Tecca, Lil Mosey, YNW Melly, NAV"
115,Daddy Yankee,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",24456517,"Jowell & Randy, Arcangel, Nicky Jam, Yandel, Wisin, Farruko"
116,Dadá Boladão,"['brega funk', 'funk carioca']",211684,
117,Dalex,"['latin', 'r&b en espanol', 'reggaeton', 'trap latino']",3697676,"Alex Rose, Nio Garcia, Myke Towers, Lunay, Rvssian, Anuel AA, Jhay Cortez, Kevin Roldan"
118,Damso,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']",3170971,"Gradur, Maes, Ninho"
119,Dan + Shay,"['contemporary country', 'country', 'pop']",2408625,"Luke Combs, Kane Brown, Morgan Wallen"
120,Dardan,[],279,
121,Darlene Love,['brill building pop'],39786,The Ronettes
122,Daryl Hall & John Oates,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",1596491,
123,Dave,"['jam band', 'neo mellow', 'pop rock']",1598864,
124,Daði Freyr,"['icelandic pop', 'sunnlensk tonlist']",173660,
125,Dean Lewis,"['australian pop', 'pop', 'pop rock']",1738417,"JP Saxe, Lewis Capaldi, Alec Benjamin, BANNERS"
126,Dean Martin,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",1166651,"Andy Williams, Nat King Cole, Perry Como, Bing Crosby"
127,Demi Lovato,"['dance pop', 'pop', 'post-teen pop']",20704156,"Miley Cyrus, Meghan Trainor, Jonas Brothers, Sabrina Carpenter, Madison Beer, Camila Cabello, Selena Gomez"
128,Diego & Victor Hugo,"['sertanejo pop', 'sertanejo universitario']",1661468,Henrique & Juliano
129,Dj Guuga,"['funk carioca', 'funk paulista', 'rave funk']",649767,Niack
130,Doja Cat,"['dance pop', 'pop']",10405402,"Kali Uchis, SZA, H.E.R., Nicki Minaj, Kehlani, WILLOW, Normani"
131,Dominic Fike,"['alternative pop rock', 'pop']",564730,Peach Tree Rascals
132,Don Toliver,"['pop', 'rap', 'trap']",1707950,"Gunna, Baby Keem, 21 Savage, NAV, Playboi Carti"
133,Donny Hathaway,"['chicago soul', 'classic soul', 'funk', 'motown', 'neo soul', 'quiet storm', 'soul', 'southern soul']",435437,
134,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",57538724,"Lil Wayne, Ty Dolla $ign, PARTYNEXTDOOR, Migos, J. Cole, NAV, French Montana, DJ Khaled, Bryson Tiller, Kendrick Lamar, Meek Mill, Tory Lanez, Future, Big Sean"
135,Dream,"['hip hop', 'rap', 'underground hip hop']",370400,"Cordae, Bas"
136,DripReport,['viral rap'],93881,
137,Dua Lipa,"['dance pop', 'pop', 'uk pop']",28535676,"Miley Cyrus, Mabel, Anne-Marie, ZAYN, Halsey, Madison Beer, Ellie Goulding, Sia, Camila Cabello, Selena Gomez, Demi Lovato, Ava Max"
138,Duncan Laurence,['dutch pop'],327444,"Dean Lewis, Sam Fischer, Zoe Wees, Sara Kays, BANNERS"
139,Dímelo Flow,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",238222,"Milly, Rich Music LTD, Rvssian, Jerry Di"
140,Eagles,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",7142284,
141,Earth,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",3123389,
142,Eartha Kitt,"['adult standards', 'lounge', 'torch song', 'vocal jazz']",129537,
143,Ed Sheeran,"['pop', 'uk pop']",85646784,"Lewis Capaldi, Meghan Trainor, Sam Smith, Niall Horan, ZAYN, Shawn Mendes, James Arthur, Justin Bieber, Camila Cabello, Liam Payne"
144,El Alfa,"['dembow', 'latin', 'rap dominicano', 'reggaeton', 'trap latino']",1853033,Rvssian
145,Ellie Goulding,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",9963590,"Bebe Rexha, Mabel, Clean Bandit, Anne-Marie, Camila Cabello, Bea Miller"
146,Elton John,"['glam rock', 'mellow gold', 'piano rock']",7848573,"Daryl Hall & John Oates, Eagles"
147,Elvis Presley,"['rock-and-roll', 'rockabilly']",5871125,Chuck Berry
148,ElyOtto,['weirdcore'],91466,
149,Emilia,['cumbia pop'],255337,"Migrantes, MYA, Rusherking"
150,Eminem,"['detroit hip hop', 'hip hop', 'rap']",48048529,"DMX, Joyner Lucas"
151,Erica Banks,['trap queen'],46462,
152,Farruko,"['latin', 'reggaeton', 'trap latino']",10943435,"Jowell & Randy, Nicky Jam, Arcangel, Yandel, Wisin"
153,Fedez,"['italian adult pop', 'italian pop']",1676642,
154,Feid,"['colombian pop', 'latin', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino']",699295,"Alex Rose, Manuel Turizo, Rvssian, Jerry Di, Kevin Roldan, Tainy, Dímelo Flow, Lunay"
155,Fleetwood Mac,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",7190050,"Daryl Hall & John Oates, Eagles"
156,Fousheé,['indie r&b'],126471,
