ID,Label,Genres,Followers,Related Artist
235,KHEA,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",3364936,"Bizarrap, Trueno"
236,KSI,['uk hip hop'],2108117,"S1mba, Stormzy, Tion Wayne"
237,Kali Uchis,"['colombian pop', 'pop']",2136847,"SZA, WILLOW"
238,Kane Brown,"['contemporary country', 'country', 'country road']",3615409,"Luke Combs, Morgan Wallen, Dan + Shay"
239,Kanye West,"['chicago rap', 'rap']",15226801,"J. Cole, Baby Keem, Kid Cudi, BROCKHAMPTON, Kendrick Lamar, Meek Mill, Big Sean"
240,Katy Perry,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",19388108,"Miley Cyrus, Gwen Stefani, P!nk, Kelly Clarkson, Selena Gomez, Demi Lovato, Britney Spears"
241,Kawe,['brazilian hip hop'],508909,
242,Kehlani,"['dance pop', 'pop', 'r&b']",5073104,"H.E.R., Normani"
243,Kelly Clarkson,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",8034527,Leona Lewis
244,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",18399860,"J. Cole, Childish Gambino, Bas, Big Sean"
245,Kevin Roldan,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']",4147473,"Alex Rose, Nio Garcia, Myke Towers, Rvssian, Lunay"
246,Khalid,"['pop', 'pop r&b']",14379161,"Dominic Fike, H.E.R., Kehlani, ZAYN, blackbear, benny blanco, Bazzi, Pink Sweat$, Normani"
247,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",5146137,"Childish Gambino, Mac Miller, Baby Keem, Bas, Big Sean"
248,Kina,"['sad lo-fi', 'sad rap']",675356,
249,KitschKrieg,"['german hip hop', 'german pop', 'hamburg hip hop']",169764,"Ufo361, Capital Bra, Bonez MC, Gzuz, Bausa, Dardan, RAF Camora"
250,Kontra K,"['christlicher rap', 'german hip hop']",1848913,"Ufo361, Dardan, RAF Camora, 187 Strassenbande, KC Rebell"
251,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",7710034,"Galantis, The Chainsmokers, Sam Feldt, Robin Schulz"
252,Kylie Minogue,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop']",1360151,
253,Labrinth,"['indie poptimism', 'pop']",1722474,"BØRNS, Tom Odell, Madison Beer, The Neighbourhood, WILLOW, Noah Cyrus, Bea Miller"
254,Lady Gaga,"['dance pop', 'pop']",19320868,"Lorde, Miley Cyrus, Katy Perry, MARINA, Ellie Goulding, Kelly Clarkson, Sia, Gwen Stefani, Demi Lovato, Britney Spears"
255,Lana Del Rey,"['art pop', 'pop']",14127051,"BØRNS, Lorde, MARINA, The Neighbourhood, WILLOW, Labrinth"
256,Lauv,"['dance pop', 'electropop', 'pop']",4559510,Tate McRae
257,Lele Pons,"['latin pop', 'viral pop']",831351,"Becky G, ROSALÍA, Natti Natasha"
258,Leona Lewis,"['british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",2951500,Kelly Clarkson
259,Lewis Capaldi,"['pop', 'uk pop']",8657230,"James Arthur, Dean Lewis, JP Saxe"
260,Liam Payne,"['dance pop', 'pop', 'post-teen pop']",8334831,"One Direction, Niall Horan, ZAYN, Shawn Mendes, Harry Styles, Camila Cabello, 5 Seconds of Summer"
261,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",8321290,"G Herbo, Roddy Ricch, Gunna, Lil Yachty, 21 Savage, NAV, Pooh Shiesty"
262,Lil Mosey,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",3970785,"Cordae, NAV, Lil Tecca, iann dior, YNW Melly, Tyla Yaweh"
263,Lil Nas X,"['lgbtq+ hip hop', 'pop']",6576617,"Cardi B, Megan Thee Stallion, DaBaby, Cordae, Don Toliver, Jack Harlow, Trevor Daniel, Internet Money, benny blanco, Lil Tecca, Lil Mosey, The Kid LAROI, Tyla Yaweh, Ashnikko"
264,Lil Peep,"['emo rap', 'lgbtq+ hip hop']",7881475,
265,Lil Tecca,"['melodic rap', 'rap', 'trap']",4275478,"Roddy Ricch, Lil Tjay, DaBaby, Cordae, Trippie Redd, Polo G, Internet Money, Lil Mosey, YNW Melly, NAV"
266,Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap']",3862003,"Roddy Ricch, A Boogie Wit da Hoodie, DDG, Lil Tecca, Lil Mosey, YNW Melly, Sleepy Hallow"
267,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",12101477,"Trippie Redd, Don Toliver, Lil Yachty, Gunna, NAV, Playboi Carti"
268,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",10903447,"Meek Mill, French Montana, Big Sean"
269,Lil Yachty,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'viral rap']",7481566,NAV
270,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",20072933,
271,Little Mix,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",9583377,"ZAYN, Leona Lewis, Camila Cabello, Liam Payne, Demi Lovato"
272,Lizzo,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",4122226,"Normani, Saweetie, Megan Thee Stallion, Cardi B"
273,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",5505659,"Big Sean, G-Eazy, Bas, Joyner Lucas"
274,Lorde,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",8389774,"BØRNS, MARINA"
275,Los Legendarios,"['reggaeton', 'trap latino']",47211,Milly
276,Luan Santana,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",5565362,"Gusttavo Lima, Jorge & Mateus"
277,Luciano,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']",669436,
278,Luke Combs,"['contemporary country', 'country']",5588175,"Kane Brown, Morgan Wallen, Dan + Shay"
279,Lunay,"['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']",5262623,"Alex Rose, Nio Garcia, Yandel, Myke Towers, Rvssian, Anuel AA, Kevin Roldan, Jhay Cortez, Ozuna, Tainy"
280,Luísa Sonza,"['funk carioca', 'pop nacional']",2069095,"Anitta, PEDRO SAMPAIO"
281,MARINA,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",3042038,"Mother Mother, Melanie Martinez"
282,MAX,"['dance pop', 'pop']",4212713,"Bebe Rexha, Mabel, Clean Bandit, Anne-Marie, Sabrina Carpenter, Madison Beer, Ellie Goulding, Camila Cabello"
283,MC Kevin o Chris,"['funk 150 bpm', 'funk carioca']",2788848,"Niack, PEDRO SAMPAIO"
284,MC Zaquin,"['funk bh', 'funk carioca']",163592,Niack
285,MEDUZA,"['edm', 'pop dance', 'pop house', 'tropical house']",450850,"twocolors, Topic, Regard"
286,MYA,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']",1022115,
287,Mabel,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",1425814,"Anne-Marie, Ava Max"
288,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",6392312,"Childish Gambino, Kid Cudi, BROCKHAMPTON, Kendrick Lamar, Bas"
289,Machine Gun Kelly,"['ohio hip hop', 'pop rap']",4027242,"iann dior, jxdn"
290,Macklemore & Ryan Lewis,"['pop rap', 'seattle hip hop']",2562102,Gym Class Heroes
291,Madame,['otacore'],41432,
292,Madison Beer,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",3694140,"Tate McRae, Bazzi, Bea Miller, Camila Cabello"
293,Maes,['modern rock'],322121,
294,Majestic,"['house', 'pop dance', 'uk dance']",34868,
295,Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",6242696,"DJ Snake, Galantis"
296,Malu,"['latin', 'reggaeton', 'reggaeton colombiano']",27619842,"Nio Garcia, Manuel Turizo, Piso 21, J Balvin, Sebastian Yatra, Natti Natasha, Cali Y El Dandee, Ozuna, Kevin Roldan"
297,Maluma,"['latin', 'reggaeton', 'reggaeton colombiano']",27619842,"Nio Garcia, Manuel Turizo, Piso 21, J Balvin, Sebastian Yatra, Natti Natasha, Cali Y El Dandee, Ozuna, Kevin Roldan"
298,Manuel Turizo,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",8225523,"Nio Garcia, Rvssian, KAROL G, Piso 21, Wisin, Sebastian Yatra, Ozuna, Lunay"
299,Marc Seguí,['spanish pop'],54509,
300,Mari Fernandez,"['forro', 'sertanejo pop']",28142,"Jonas Esticado, Matheus Fernandes"
301,Mariah Carey,"['dance pop', 'pop', 'r&b', 'urban contemporary']",7054602,
302,Maroon 5,"['pop', 'pop rock']",33154220,"Clean Bandit, Jonas Brothers, Shawn Mendes, Kelly Clarkson, OneRepublic, Jason Derulo, Jason Mraz"
303,Marshmello,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",32122154,"Kygo, benny blanco, Galantis, The Chainsmokers"
304,Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",15100642,
305,Masked Wolf,['australian hip hop'],439460,"Arizona Zervas, Tyla Yaweh"
306,Master KG,['south african house'],258653,
307,Matheus Fernandes,['sertanejo pop'],115617,"Jonas Esticado, Mari Fernandez"
308,Matthew Wilder,['new wave pop'],30973,Wham!
309,Matuê,"['r&b brasileiro', 'rap cearense', 'trap brasileiro']",3564903,
310,Mc Davi,"['funk carioca', 'funk ostentacao', 'funk paulista']",2684192,
311,Mc Poze do Rodo,['funk carioca'],668365,Kawe
312,Mc Zaac,"['funk carioca', 'funk pop']",1567313,
313,Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",5417274,"Tory Lanez, French Montana, Big Sean"
314,Megan Thee Stallion,"['houston rap', 'pop', 'trap queen']",5176892,"BIA, Cardi B, Normani"
315,Meghan Trainor,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",10758834,"Becky G, Ariana Grande, Sam Smith, Shawn Mendes, Maroon 5, Selena Gomez, 5 Seconds of Summer"
316,Melanie Martinez,"['alt z', 'electropop', 'pop']",11367462,"Lorde, Mother Mother, MARINA, Halsey, Madison Beer, Conan Gray, Bea Miller"
317,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",4759441,"Nat King Cole, Perry Como, Andy Williams, Tony Bennett, Frank Sinatra, Dean Martin"
318,Michael Jackson,"['pop', 'r&b', 'soul']",19940510,"Stevie Wonder, The Jackson 5, Wham!"
319,Migos,"['atl hip hop', 'pop rap', 'rap', 'trap']",11804241,"Gunna, Lil Yachty, Lil Baby, Lil Uzi Vert, A$AP Ferg, 21 Savage, NAV"
320,Migrantes,['cumbia pop'],125420,
321,Miksu / Macloud,['german hip hop'],32741,"Zuna, KALIM"
322,Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']",16217493,"Jonas Brothers, Kelly Clarkson, Camila Cabello, Selena Gomez, Demi Lovato, Britney Spears"
323,Milly,['boston hip hop'],17511,
324,Mimi Webb,"['alt z', 'pop', 'uk pop']",155615,
325,Money Man,"['memphis hip hop', 'rap', 'southern hip hop', 'trap']",362421,
326,Mora,"['reggaeton', 'trap latino']",177810,"Rvssian, Dímelo Flow, Harry Nach, Tainy"
327,Morgan Wallen,['contemporary country'],2324925,"Luke Combs, Kane Brown, Dan + Shay"
328,Mother Mother,['vancouver indie'],2245283,Beach Bunny
329,Murda,"['canadian hip hop', 'canadian trap']",121451,Lil Yachty
330,Mustard,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",897594,"Ty Dolla $ign, French Montana"
331,Myke Towers,['trap latino'],6714396,"Alex Rose, Nio Garcia, Lunay, Rvssian, Anuel AA, Rauw Alejandro, Jhay Cortez, Kevin Roldan, Dalex"
332,Mykola Dmytrovych Leontovych,"['post-romantic era', 'ukrainian classical']",2421,
333,Måneskin,"['indie rock italiano', 'italian pop']",4124801,"Francesca Michielin, Fedez"
334,NAV,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",2686699,"Don Toliver, Lil Yachty, Gunna, Lil Tecca, 21 Savage"
335,NF,"['hip hop', 'pop rap', 'rap']",6063618,"Arizona Zervas, Joyner Lucas"
336,NLE Choppa,['memphis hip hop'],3551267,DDG
337,Nat King Cole,"['adult standards', 'lounge', 'soul', 'vocal jazz']",1669259,"Andy Williams, Perry Como, Dean Martin, Bing Crosby"
338,Natalie Taylor,[],123256,"Dean Lewis, JP Saxe"
339,Nathan Evans,[],157697,
340,Natti Natasha,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",6617829,"Yandel, Manuel Turizo, KAROL G, Anuel AA, Farruko, Tainy, Justin Quiles, Ozuna, Lunay"
341,Nea,"['scandipop', 'swedish pop']",39310,
342,Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']",2773109,"Black Eyed Peas, Kylie Minogue, Justin Timberlake, Gwen Stefani, Britney Spears"
343,Niack,['funk carioca'],356870,
344,Niall Horan,"['dance pop', 'pop', 'post-teen pop']",7763939,"One Direction, Jonas Brothers, Anne-Marie, ZAYN, Shawn Mendes, Harry Styles, Liam Payne, 5 Seconds of Summer"
345,Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",22687291,"BIA, Cardi B, Megan Thee Stallion, Kehlani, Jhené Aiko, Normani"
346,Nicky Jam,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",15215580,"Jowell & Randy, Arcangel, Yandel, Wisin, Farruko"
347,Ninho,"['french hip hop', 'pop urbaine']",4968828,"Gradur, Maes"
348,Nio Garcia,"['latin', 'reggaeton', 'trap latino']",2320814,"Myke Towers, Manuel Turizo, Rvssian, KAROL G, Anuel AA, Kevin Roldan, Jhay Cortez, Ozuna, Lunay"
349,Nirvana,"['alternative rock', 'grunge', 'permanent wave', 'rock']",13667510,
350,Noah Cyrus,"['alt z', 'dance pop', 'pop', 'post-teen pop']",908250,"JP Saxe, Ashe, Alexander 23, Bea Miller"
351,Normani,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",1432371,Kehlani
352,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",6636197,
353,Octavian,"['afroswing', 'london rap', 'uk alternative hip hop', 'uk hip hop']",216513,
354,Ofenbach,"['edm', 'electro house', 'new french touch', 'pop', 'pop dance', 'tropical house']",442121,"Sam Feldt, Robin Schulz"
355,Olivia Rodrigo,['pop'],8548958,"Tate McRae, Ashe, Niall Horan, Sabrina Carpenter, Madison Beer, Harry Styles, Noah Cyrus, 5 Seconds of Summer, Conan Gray, Mimi Webb"
356,One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",23222900,"Jonas Brothers, ZAYN, Niall Horan, Liam Payne, 5 Seconds of Summer, Demi Lovato, Little Mix"
357,OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']",12453027,"James Arthur, Maroon 5, Imagine Dragons"
358,Os Barões Da Pisadinha,"['forro', 'piseiro']",4752502,"Jonas Esticado, Diego & Victor Hugo, Wesley Safadão, Raí Saia Rodada, Tarcísio do Acordeon, Israel & Rodolffo, Hugo & Guilherme"
359,Ozuna,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",29792631,"Nio Garcia, Yandel, Manuel Turizo, Lunay, Rvssian, KAROL G, Anuel AA, Kevin Roldan, Bad Bunny, Rauw Alejandro, Jhay Cortez, Tainy"
360,P!nk,"['dance pop', 'pop']",11832929,"Gwen Stefani, Kelly Clarkson, Katy Perry, Leona Lewis"
361,PARTYNEXTDOOR,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",3251394,"Jhené Aiko, Tory Lanez, Brent Faiyaz, Bryson Tiller"
362,PEDRO SAMPAIO,['funk carioca'],1086873,"Luísa Sonza, Mc Zaac"
363,PUBLIC,['indie rockism'],169367,BANNERS
364,Pamungkas,['indonesian pop'],1885688,
365,Panic! At The Disco,['modern rock'],10940982,
366,Pashanim,"['german alternative rap', 'german drill', 'german hip hop']",223971,
367,Passenger,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",2845751,Vance Joy
368,Paul McCartney,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']",3680265,"Elton John, The Beach Boys, John Lennon"
369,Peach Tree Rascals,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop']",181606,
370,Pedro Capó,"['latin', 'latin pop', 'puerto rican pop']",1376248,
371,Pentatonix,['a cappella'],3103166,Meghan Trainor
372,Perry Como,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']",348345,"Andy Williams, Burl Ives, Brenda Lee"
373,Petter Ferraz,[],14791,Malu
374,Pink Sweat$,"['bedroom soul', 'pop']",1023895,
375,Piso 21,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",7387364,"Cali Y El Dandee, Manuel Turizo, Sebastian Yatra, Maluma"
376,Playboi Carti,"['atl hip hop', 'plugg', 'rap', 'trap']",5212759,"Don Toliver, Lil Yachty, Gunna, Lil Uzi Vert, 21 Savage, NAV"
377,Polo G,['chicago rap'],5307510,"G Herbo, Roddy Ricch, Lil Tjay, Trippie Redd, Gunna, Internet Money, DDG, Lil Tecca, Lil Mosey, YNW Melly, Sleepy Hallow, NAV"
378,Pooh Shiesty,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",492204,"G Herbo, Money Man"
379,Pop Smoke,['brooklyn drill'],7603097,"Mustard, Roddy Ricch, Lil Tjay, Gunna, Polo G, Internet Money, Lil Baby, DDG, Lil Tecca, Russ Millions, NAV"
380,Post Malone,"['dfw rap', 'melodic rap', 'rap']",34300843,"SAINt JHN, Migos, Internet Money, NAV, French Montana, A$AP Ferg, Lil Mosey, Bazzi, Tyla Yaweh"
381,Powfu,"['pop rap', 'sad rap']",956976,
382,Queen,"['classic rock', 'glam rock', 'rock']",36970216,"Journey, Elton John, John Lennon"
383,RAF Camora,['german hip hop'],1361522,
384,ROSALÍA,['r&b en espanol'],4836778,"Lele Pons, C. Tangana"
385,ROSÉ,"['glam metal', 'hard rock', 'rock']",22028069,AC/DC
386,Rauw Alejandro,"['puerto rican pop', 'trap latino']",6960646,"Alex Rose, Nio Garcia, Myke Towers, Anuel AA, Jhay Cortez, Ozuna, Lunay, Dalex"
387,Raí Saia Rodada,['forro'],1394412,"Jonas Esticado, Matheus Fernandes, Mari Fernandez"
388,Red Velvet,"['k-pop', 'k-pop girl group']",5975786,"Red Velvet - IRENE & SEULGI, TWICE"
389,Red Velvet - IRENE & SEULGI,['k-pop'],434666,
390,Regard,"['dance pop', 'edm', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",157789,"twocolors, Topic"
391,Reik,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']",6349154,
392,Residente,['venezuelan hip hop'],894835,
393,Rich Music LTD,"['latin', 'reggaeton', 'trap latino']",208178,"Alex Rose, Feid, Milly, Rvssian, Jerry Di, Super Yei, Dímelo Flow, Kevin Roldan, Dalex"
394,Riton,"['dance pop', 'edm', 'house', 'pop dance', 'pop rap', 'tropical house', 'uk dance']",88577,Majestic
395,Ritt Momney,"['bedroom pop', 'indie pop']",102873,
396,Robin Schulz,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",2818069,"Sam Feldt, Ofenbach"
397,Rochy RD,"['dembow', 'dominican pop', 'rap dominicano', 'trap latino']",373232,
398,Rod Wave,['florida rap'],2383411,Money Man
399,Roddy Ricch,"['melodic rap', 'rap', 'trap']",6876423,"DaBaby, Gunna, NAV, Lil Baby, Lil Tecca, Lil Mosey, YNW Melly, Tyla Yaweh"
400,Rusherking,"['trap argentino', 'trap latino', 'trap triste']",395901,Tiago PZK
401,Russ Millions,[],212290,Tion Wayne
402,Rvssian,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",1460740,"Alex Rose, Nio Garcia, Lunay, Anuel AA, Kevin Roldan"
403,S1mba,['afroswing'],49384,
404,SAINt JHN,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",761213,"NAV, Tyla Yaweh"
405,SHAED,"['electropop', 'pop']",142958,
406,SZA,"['pop', 'r&b', 'rap']",6239998,"Kali Uchis, Jhené Aiko, Kehlani, H.E.R."
407,Sabrina Carpenter,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",3780233,"Madison Beer, Demi Lovato, Bea Miller, Camila Cabello"
408,Sam Feldt,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",651578,
409,Sam Fischer,"['alt z', 'australian pop', 'dance pop', 'pop']",131572,JP Saxe
410,Sam Smith,"['dance pop', 'pop', 'uk pop']",17604066,"Lewis Capaldi, Dean Lewis, ZAYN, Niall Horan, James Arthur, Ellie Goulding, John Legend, Sam Fischer"
411,Samra,['german hip hop'],1066892,Zuna
412,Sara Kays,"['alt z', 'indie pop', 'modern indie pop', 'pop', 'social media pop']",263471,Alexander 23
413,Sarah Cothran,[],206915,"Ashe, Sara Kays"
414,Saweetie,"['cali rap', 'dance pop', 'pop', 'trap queen']",1323464,"BIA, Megan Thee Stallion"
415,Sebastian Yatra,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",16622599,"Nio Garcia, Manuel Turizo, KAROL G, Piso 21, Camilo"
416,Sech,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",9184915,"Arcangel, Nio Garcia, Yandel, Manuel Turizo, Myke Towers, Lunay, Rvssian, Wisin, Anuel AA, Kevin Roldan, Jhay Cortez, Ozuna, Tainy"
417,Selena Gomez,"['dance pop', 'pop', 'post-teen pop']",30117217,"Miley Cyrus, ZAYN, Sabrina Carpenter, Halsey, Madison Beer, Camila Cabello, Demi Lovato, Bea Miller"
418,Sfera Ebbasta,"['italian hip hop', 'italian pop', 'trap italiana']",4500534,
419,Shablo,['italian hip hop'],41955,
420,Shakin' Stevens,"['new wave pop', 'rock-and-roll', 'rockabilly', 'soft rock']",101652,
421,Shakira,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",22417609,
422,Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']",34661710,"Meghan Trainor, ZAYN, Niall Horan, Camila Cabello, Selena Gomez, Liam Payne, 5 Seconds of Summer, Demi Lovato, Bazzi"
423,Shirin David,"['frauenrap', 'german hip hop', 'german pop']",593725,"Juju, Dardan, Miksu / Macloud, Zuna"
424,Shiva,"['indie garage rock', 'portland indie']",21397,
425,Shouse,['aussietronica'],40277,
426,Sia,"['australian dance', 'australian pop', 'dance pop', 'pop']",21034227,"Adele, Bebe Rexha, Lorde, Clean Bandit, Anne-Marie, Lady Gaga, Halsey, Ellie Goulding, Ava Max"
427,Sleepy Hallow,"['brooklyn drill', 'nyc rap']",519711,DDG
428,Smiley,"['canadian hip hop', 'toronto rap']",19656,
429,Soso Maness,"['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']",318767,
430,StarBoi3,[],20050,"BIA, Bebe Rexha, Anne-Marie, Saweetie, Erica Banks, Normani"
431,StaySolidRocky,['melodic rap'],152950,"Internet Money, Arizona Zervas, Lil Mosey"
432,Stevie Wonder,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']",5270315,
433,Stormzy,"['grime', 'uk hip hop']",2354928,Octavian
434,Studio Killers,[],185003,
435,Sub Urban,['modern indie pop'],998147,
436,Super Yei,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",298430,
437,Surf Curse,"['dreamo', 'indie pop', 'indie surf', 'surf punk', 'vegas indie']",549200,
438,Surf Mesa,['tropical house'],137575,"twocolors, Topic"
439,Surfaces,"['bedroom soul', 'pop']",753967,Peach Tree Rascals
440,THE SCOTTS,[],180463,
441,TINI,"['latin pop', 'pop argentino']",3171723,"Migrantes, MYA, Emilia"
442,TOKYO’S REVENGE,"['meme rap', 'sad rap', 'vapor trap', 'viral rap']",330429,
443,TOMORROW X TOGETHER,"['k-pop', 'k-pop boy group']",4592642,
444,TWICE,"['k-pop', 'k-pop girl group']",10708592,"Red Velvet, BLACKPINK"
445,Tainy,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino']",568918,"Jowell & Randy, Arcangel, Yandel, Rvssian, Wisin, Jhay Cortez, Lunay"
446,Tame Impala,"['australian psych', 'neo-psychedelic']",5153574,
447,Tarcísio do Acordeon,[],1441903,"Jonas Esticado, Matheus Fernandes, Raí Saia Rodada, Mari Fernandez"
448,Tate McRae,"['alt z', 'dance pop', 'pop', 'post-teen pop']",1799545,"Alexander 23, Alec Benjamin, Ashe, Madison Beer, Bea Miller"
449,Taylor Swift,['pop'],43640194,"Lorde, Miley Cyrus, Meghan Trainor, Jonas Brothers, ZAYN, Niall Horan, Halsey, Harry Styles, Kelly Clarkson, Camila Cabello, Selena Gomez, Demi Lovato"
450,The 1975,"['modern alternative rock', 'modern rock', 'pop', 'rock']",5127711,Wallows
451,The Beach Boys,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",3318770,
452,The Chainsmokers,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",18408203,"Martin Garrix, Kygo, benny blanco, Galantis, Marshmello, Calvin Harris"
453,The Jackson 5,"['motown', 'soul']",1169868,Stevie Wonder
454,The Kid LAROI,['australian hip hop'],2606669,"Roddy Ricch, Trippie Redd, Lil Tjay, Cordae, Polo G, Internet Money, benny blanco, Lil Tecca, Lil Uzi Vert, Lil Mosey, iann dior, YNW Melly, NAV"
455,The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",6214261,
456,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",6992004,"Mother Mother, Surf Curse, Melanie Martinez, Wallows, Clairo, Conan Gray"
457,The Pogues,"['celtic', 'celtic punk', 'celtic rock', 'folk punk', 'irish folk', 'punk']",389310,
458,The Police,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",4451404,
459,The Ronettes,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll', 'soul']",182918,Darlene Love
460,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",37058135,"SZA, PARTYNEXTDOOR, Travis Scott, Don Toliver, Childish Gambino, French Montana, Jhené Aiko, Bryson Tiller, Kendrick Lamar, Ty Dolla $ign, Big Sean, Belly"
461,Thiaguinho MT,"['brega funk', 'funk carioca']",28479,"Dadá Boladão, Niack, Mc Zaac"
462,Tiago PZK,['trap argentino'],552372,Rusherking
463,Tion Wayne,['london rap'],373472,Headie One
464,Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",5914054,Martin Garrix
465,Tom Grennan,"['modern rock', 'uk pop']",276714,BANNERS
466,Tom Odell,"['chill pop', 'pop']",1888351,"Hozier, Vance Joy, Passenger"
467,Tones And I,"['australian pop', 'pop']",2863391,"Sam Feldt, Sam Fischer, Zoe Wees"
