Id,Artist,Genres,Followers
89,Cali Y El Dandee,"['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",3227829
90,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']",22161803
91,Camila Cabello,"['dance pop', 'pop', 'post-teen pop']",23525145
92,Camilo,"['colombian pop', 'reggaeton colombiano']",11534629
93,Capital Bra,['german hip hop'],4132330
94,Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']",18068144
95,Childish Gambino,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",8303952
96,Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",14388608
97,Chris Rea,"['album rock', 'blues rock', 'classic rock', 'mellow gold', 'soft rock', 'sophisti-pop']",664849
98,Christian Nodal,"['mariachi', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",8705180
99,Chuck Berry,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",1464272
100,Clairo,"['bedroom pop', 'indie pop', 'pop']",2827220
101,Clean Bandit,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",4497572
102,Cochise,"['plugg', 'vapor trap', 'viral rap']",188939
103,Coldplay,"['permanent wave', 'pop']",31979566
104,Conan Gray,"['bedroom pop', 'electropop', 'indie pop', 'pop']",4066357
105,Conkarah,['jawaiian'],67471
106,Cordae,"['dmv rap', 'hip hop', 'rap', 'trap', 'underground hip hop', 'vapor trap']",1525155
107,Crissin,[],7195
108,Curtis Waters,[],70041
109,DDG,"['rap', 'trap']",538841
110,DJ Ivis,['piseiro'],389338
111,DJ Khaled,"['hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6427995
112,DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",7462663
113,DMX,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",2839404
114,DaBaby,"['north carolina hip hop', 'rap']",8063132
115,Daddy Yankee,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",24456517
116,Dadá Boladão,"['brega funk', 'funk carioca']",211684
117,Dalex,"['latin', 'r&b en espanol', 'reggaeton', 'trap latino']",3697676
118,Damso,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']",3170971
119,Dan + Shay,"['contemporary country', 'country', 'pop']",2408625
120,Dardan,[],279
121,Darlene Love,['brill building pop'],39786
122,Daryl Hall & John Oates,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",1596491
123,Dave,"['jam band', 'neo mellow', 'pop rock']",1598864
124,Daði Freyr,"['icelandic pop', 'sunnlensk tonlist']",173660
125,Dean Lewis,"['australian pop', 'pop', 'pop rock']",1738417
126,Dean Martin,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",1166651
127,Demi Lovato,"['dance pop', 'pop', 'post-teen pop']",20704156
128,Diego & Victor Hugo,"['sertanejo pop', 'sertanejo universitario']",1661468
129,Dj Guuga,"['funk carioca', 'funk paulista', 'rave funk']",649767
130,Doja Cat,"['dance pop', 'pop']",10405402
131,Dominic Fike,"['alternative pop rock', 'pop']",564730
132,Don Toliver,"['pop', 'rap', 'trap']",1707950
133,Donny Hathaway,"['chicago soul', 'classic soul', 'funk', 'motown', 'neo soul', 'quiet storm', 'soul', 'southern soul']",435437
134,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",57538724
135,Dream,"['hip hop', 'rap', 'underground hip hop']",370400
136,DripReport,['viral rap'],93881
137,Dua Lipa,"['dance pop', 'pop', 'uk pop']",28535676
138,Duncan Laurence,['dutch pop'],327444
139,Dímelo Flow,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",238222
140,Eagles,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",7142284
141,Earth,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",3123389
142,Eartha Kitt,"['adult standards', 'lounge', 'torch song', 'vocal jazz']",129537
143,Ed Sheeran,"['pop', 'uk pop']",85646784
144,El Alfa,"['dembow', 'latin', 'rap dominicano', 'reggaeton', 'trap latino']",1853033
145,Ellie Goulding,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",9963590
146,Elton John,"['glam rock', 'mellow gold', 'piano rock']",7848573
147,Elvis Presley,"['rock-and-roll', 'rockabilly']",5871125
148,ElyOtto,['weirdcore'],91466
149,Emilia,['cumbia pop'],255337
150,Eminem,"['detroit hip hop', 'hip hop', 'rap']",48048529
151,Erica Banks,['trap queen'],46462
152,Farruko,"['latin', 'reggaeton', 'trap latino']",10943435
153,Fedez,"['italian adult pop', 'italian pop']",1676642
154,Feid,"['colombian pop', 'latin', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino']",699295
155,Fleetwood Mac,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",7190050
156,Fousheé,['indie r&b'],126471
157,Francesca Michielin,"['italian adult pop', 'italian indie pop', 'italian pop', 'italian pop rock']",581971
158,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']",5068565
159,French Montana,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4112326
160,Future,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",10665633
161,G Herbo,"['chicago drill', 'chicago rap', 'drill', 'rap', 'southern hip hop', 'trap']",1288087
162,G-Eazy,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",4930736
163,Galantis,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",3142335
164,Gambi,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",8303952
165,Gera MX,"['mexican hip hop', 'rap conciencia']",2267586
166,Giveon,"['pop', 'r&b']",1594428
167,Gjon's Tears,[],33296
168,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",2035019
169,Go_A,['eurovision'],116467
170,Gotye,['australian pop'],2271473
171,Gradur,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais']",1425574
172,Gunna,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",3486655
173,Gusttavo Lima,"['sertanejo', 'sertanejo universitario']",13511271
174,Gwen Stefani,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']",4910679
175,Gym Class Heroes,"['dance pop', 'pop rap']",1293785
176,Gzuz,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",1152871
177,H.E.R.,"['alternative r&b', 'dance pop', 'pop', 'r&b']",4326781
178,HVME,['slap house'],44338
179,Halsey,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']",16089316
180,Harry Nach,"['trap chileno', 'trap latino']",143378
181,Harry Styles,['pop'],16929807
182,Headie One,['uk hip hop'],343632
183,Henrique & Juliano,['sertanejo universitario'],13525819
